maar,dummy
0.8669892,1
0.056595523,1
1.260863436,1
0.796273235,1
0.196205651,1
2.982580441,1
1.994433537,1
0.183698882,1
12.48616339,1
0.020513096,1
1.021157811,1
0.924423694,1
0.069837895,1
0.955409933,1
0.328548847,1
0.561899487,1
0.204533815,1
1.059529074,1
10.31377159,1
0.325221621,1
4.174255536,1
0.041123431,1
0.341965425,1
0.237579551,1
0.339574855,1
1.030083694,1
0.992458537,1
0.070390296,1
0.32437586,1
0.231593911,1
0.887943153,1
0.589014479,1
0.755112429,1
0.868963868,1
0.578725868,1
0.362512499,1
0.234078455,1
0.78738753,1
0.134158803,1
0.742205003,1
0.958838843,1
0.204898856,1
0.713527249,1
0.988412201,1
0.514517917,1
0.554391414,1
0.427948642,1
0.303022781,1
1.032032361,1
0.753866449,1
0.439399444,1
0.799132212,1
0.752812391,1
0.524064536,1
1.307768583,1
1.293796984,1
1.016386237,1
0.767077441,1
0.765651544,1
0.962492965,1
9.385817226,1
0.851627925,1
1.280731672,1
1.112076193,1
1.617104932,1
1.333962341,1
1.111504959,1
0.391853937,1
0.797850295,1
1.081866505,1
0.581869435,1
0.863489262,1
1.030841031,1
0.845548938,1
0.546334535,1
0.857781655,1
1.188976235,1
0.752944373,1
1.954344947,1
1.086795349,1
2.226701719,1
1.31664995,1
1.919215904,1
1.586113848,1
1.897808103,1
1.387887268,1
0.954973623,1
1.172930855,1
1.028417279,1
1.420281095,1
1.701180494,1
19.61582058,1
2.853810207,1
17.25036263,1
1.415562434,1
2.275555929,1
1.707330728,1
1.488802481,1
17.78501241,1
1.688590089,1
26.37438164,1
3.171185327,1
1.9889195,1
2.08226299,1
3.276736327,1
3.316294831,1
19.61304962,1
2.337793258,1
1.296728649,1
1.23493987,1
1.681141503,1
8.559477531,1
1.205589787,1
13.27965477,1
1.72180956,1
1.684124648,1
0.111808286,0
1.508909735,0
38.08681294,0
1.484917755,0
1.914584864,0
-0.050683148,0
2.69721719,0
2.555989633,0
2.197612978,0
0.272177068,0
1.14791798,0
1.746491928,0
0.949997424,0
1.967068662,0
1.153970054,0
1.157052855,0
0.816006053,0
1.339189226,0
0.240339833,0
1.671834744,0
1.44892558,0
1.476415706,0
1.46716554,0
1.094201033,0
1.344083433,0
1.086660527,0
1.198079559,0
0.594344818,0
0.72300646,0
1.162685309,0
1.6514322,0
1.592116903,0
1.727039141,0
1.042541338,0
0.484953959,0
11.58092205,0
1.99289717,0
0.788874748,0
0.45725883,0
1.713280368,0
1.376865796,0
1.358132351,0
1.400970118,0
1.321426678,0
0.810924174,0
1.087727443,0
0.775871988,0
0.920955862,0
0.765694774,0
1.071548088,0
0.793145477,0
0.767817623,0
1.302570851,0
1.178664472,0
0.604006055,0
0.642132432,0
0.264542143,0
0.167249596,0
0.37381365,0
1.597589272,0
0.404642464,0
0.87444959,0
0.654670926,0
0.613144045,0
1.064181555,0
1.084523888,0
1.015817784,0
1.311409056,0
0.595688967,0
0.374233652,0
0.08831478,0
1.039340944,0
0.799010502,0
0.706225223,0
1.237258855,0
0.768173827,0
0.70922339,0
1.592427834,0
1.615406563,0
1.352339549,0
2.4130093,0
1.784576556,0
0.439542882,0
0.193051712,0
0.382436115,0
